Entity ID,Plant ID,Sector,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Planned Operation Month,Planned Operation Year,Status,Latitude,Longitude
12436,10328,Commercial CHP,9.0,9.0,9.0,Natural Gas Internal Combustion Engine,1,2021,TS,42.717800,-84.483600
12436,10328,Commercial CHP,9.0,9.0,9.0,Natural Gas Internal Combustion Engine,1,2021,TS,42.717800,-84.483600
12436,10328,Commercial CHP,9.0,9.0,9.0,Natural Gas Internal Combustion Engine,1,2021,TS,42.717800,-84.483600
60609,57960,IPP Non-CHP,80.0,80.0,80.0,Solar Photovoltaic,1,2021,TS,32.686111,-116.280600
58106,58161,Commercial CHP,2.5,2.5,2.5,Natural Gas Internal Combustion Engine,1,2021,TS,42.280000,-85.606390
58106,58161,Commercial CHP,2.5,2.5,2.5,Natural Gas Internal Combustion Engine,1,2021,TS,42.280000,-85.606390
60222,59037,Electric Utility,5.0,5.0,5.0,Conventional Hydroelectric,1,2021,TS,55.216389,-132.603600
19876,59693,Electric Utility,12.0,12.0,12.0,Offshore Wind Turbine,1,2021,TS,36.891550,-75.491600
59685,59922,Commercial Non-CHP,1.8,1.8,1.8,Solar Photovoltaic,1,2021,V,39.781498,-75.548390
61298,60165,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,1,2021,V,35.264418,-78.081390
55937,60925,Electric Utility,250.0,250.0,250.0,Natural Gas Fired Combined Cycle,1,2021,TS,30.440830,-95.527500
55937,60925,Electric Utility,250.0,250.0,250.0,Natural Gas Fired Combined Cycle,1,2021,TS,30.440830,-95.527500
55937,60925,Electric Utility,500.0,500.0,500.0,Natural Gas Fired Combined Cycle,1,2021,TS,30.440830,-95.527500
15399,61044,IPP Non-CHP,165.0,165.0,165.0,Onshore Wind Turbine,1,2021,V,34.810000,-105.740000
15399,61046,IPP Non-CHP,154.0,154.0,154.0,Onshore Wind Turbine,1,2021,TS,44.592000,-96.576000
14232,61144,Electric Utility,349.0,245.5,286.3,Natural Gas Fired Combustion Turbine,1,2021,V,44.574965,-96.559420
62160,61204,IPP Non-CHP,100.0,100.0,100.0,Batteries,1,2021,V,33.770202,-118.099700
60982,61346,IPP Non-CHP,28.0,28.0,28.0,Solar Photovoltaic,1,2021,V,30.976638,-102.257800
60195,61743,IPP Non-CHP,3.7,3.7,3.7,Other Natural Gas,1,2021,V,41.400000,-72.085500
63810,61991,IPP Non-CHP,80.0,80.0,80.0,Solar Photovoltaic,1,2021,V,39.761569,-104.459000
61610,62476,IPP Non-CHP,2.0,2.0,2.0,Solar Photovoltaic,1,2021,V,42.766000,-78.559000
5416,62668,Electric Utility,69.3,69.3,69.3,Solar Photovoltaic,1,2021,V,35.593000,-81.167000
19876,62730,Electric Utility,88.2,88.2,88.2,Solar Photovoltaic,1,2021,U,38.015735,-78.043130
61420,62754,Commercial Non-CHP,2.0,2.0,2.0,Batteries,1,2021,U,32.733800,-117.193300
9234,62769,Electric Utility,4.3,4.3,3.5,Solar Photovoltaic,1,2021,V,41.175519,-85.505300
62705,62804,IPP Non-CHP,255.0,255.0,255.0,Solar Photovoltaic,1,2021,U,31.030996,-102.488200
62720,62837,IPP Non-CHP,351.8,351.8,351.8,Onshore Wind Turbine,1,2021,V,36.824780,-97.029780
49893,63029,IPP Non-CHP,150.0,150.0,150.0,Solar Photovoltaic,1,2021,V,40.659506,-83.813710
61012,63048,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,1,2021,V,42.611300,-72.345200
49893,63049,IPP Non-CHP,46.2,46.2,46.2,Solar Photovoltaic,1,2021,U,44.163296,-120.524100
49893,63050,IPP Non-CHP,71.4,71.4,71.4,Solar Photovoltaic,1,2021,U,44.154107,-120.534100
62955,63167,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,V,44.702500,-93.785800
62958,63170,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,V,44.224430,-95.689490
62993,63209,IPP Non-CHP,525.0,525.0,525.0,Onshore Wind Turbine,1,2021,V,31.792610,-100.697300
63017,63249,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,TS,44.102341,-92.746480
63021,63258,IPP Non-CHP,298.8,298.8,298.8,Onshore Wind Turbine,1,2021,V,48.500000,-103.100000
62759,63307,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,V,44.939037,-94.904380
62759,63308,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,V,44.197311,-93.615270
62759,63314,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,V,44.205398,-93.979200
63082,63335,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,1,2021,V,29.645360,-95.451690
63082,63335,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,1,2021,V,29.645360,-95.451690
63082,63335,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,1,2021,V,29.645360,-95.451690
63082,63335,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,1,2021,V,29.645360,-95.451690
63082,63335,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,1,2021,V,29.645360,-95.451690
63082,63335,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,1,2021,V,29.645360,-95.451690
63081,63342,IPP Non-CHP,162.1,162.1,162.1,Onshore Wind Turbine,1,2021,OT,31.754037,-101.675200
62852,63377,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,1,2021,V,34.879581,-79.673280
63129,63378,IPP Non-CHP,100.0,100.0,100.0,Solar Photovoltaic,1,2021,TS,41.153697,-91.177100
63141,63387,IPP Non-CHP,160.0,160.0,160.0,Solar Photovoltaic,1,2021,TS,38.346814,-121.119800
63210,63476,IPP Non-CHP,100.0,100.0,100.0,Solar Photovoltaic,1,2021,TS,32.866276,-111.502400
18454,63495,Electric Utility,60.0,60.0,60.0,Solar Photovoltaic,1,2021,V,27.780000,-81.980000
63279,63574,IPP Non-CHP,298.6,298.6,298.6,Onshore Wind Turbine,1,2021,U,40.531283,-95.354880
12341,63640,Electric Utility,254.1,254.1,254.1,Onshore Wind Turbine,1,2021,V,41.111300,-94.466700
63185,63642,IPP Non-CHP,1.8,1.8,1.8,Solar Photovoltaic,1,2021,TS,45.431000,-122.286000
57170,63655,IPP Non-CHP,242.5,242.5,242.5,Onshore Wind Turbine,1,2021,U,32.848790,-100.866500
56769,63656,IPP Non-CHP,2.0,2.0,2.0,Solar Photovoltaic,1,2021,V,40.576290,-89.703550
63185,63663,IPP Non-CHP,2.5,2.5,2.5,Solar Photovoltaic,1,2021,TS,45.127950,-122.613800
63185,63664,IPP Non-CHP,2.5,2.5,2.5,Solar Photovoltaic,1,2021,TS,45.137000,-122.799000
63381,63683,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,V,45.483155,-92.815180
63407,63694,IPP Non-CHP,4.0,4.0,4.0,Solar Photovoltaic,1,2021,TS,45.101804,-123.410100
63419,63720,IPP Non-CHP,2.0,2.0,2.0,Solar Photovoltaic,1,2021,V,34.124000,-82.130000
63415,63722,IPP Non-CHP,1.0,1.0,1.0,Batteries,1,2021,TS,40.857978,-105.015600
63415,63722,IPP Non-CHP,22.0,22.0,22.0,Solar Photovoltaic,1,2021,TS,40.857978,-105.015600
57365,63729,IPP Non-CHP,3.0,3.0,3.0,Solar Photovoltaic,1,2021,V,41.885716,-74.102720
63431,63739,IPP Non-CHP,272.6,272.6,272.6,Onshore Wind Turbine,1,2021,U,26.364843,-97.545340
63434,63742,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,TS,45.497760,-95.164510
63436,63744,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,TS,44.456920,-93.124470
63676,63762,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,TS,38.153474,-122.565700
63676,63762,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,TS,38.153474,-122.565700
63676,63762,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,TS,38.153474,-122.565700
62915,63792,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,V,45.678000,-93.919000
62915,63793,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,V,45.630000,-94.050000
62915,63816,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,V,44.125000,-93.277000
56769,63823,IPP Non-CHP,2.0,2.0,2.0,Solar Photovoltaic,1,2021,V,41.327123,-87.610520
56769,63824,IPP Non-CHP,2.0,2.0,2.0,Solar Photovoltaic,1,2021,V,42.339141,-89.198020
63511,63830,IPP Non-CHP,1.8,1.8,1.8,Solar Photovoltaic,1,2021,U,39.010600,-88.844300
63569,63899,IPP Non-CHP,1.4,1.4,1.4,Solar Photovoltaic,1,2021,V,45.459420,-92.894760
63608,63936,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,TS,44.007890,-93.495410
63606,63940,IPP Non-CHP,40.0,40.0,40.0,Solar Photovoltaic,1,2021,V,37.246000,-121.104000
62856,63947,IPP Non-CHP,2.3,2.3,2.3,Solar Photovoltaic,1,2021,V,37.101170,-120.153100
56769,63948,IPP Non-CHP,2.0,2.0,2.0,Solar Photovoltaic,1,2021,V,41.108211,-87.726110
63613,63949,IPP Non-CHP,2.0,2.0,2.0,Solar Photovoltaic,1,2021,V,41.922190,-88.688760
63616,63951,IPP Non-CHP,2.0,2.0,2.0,Solar Photovoltaic,1,2021,V,42.356810,-89.883980
63511,63967,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,V,42.289900,-88.407120
63511,63967,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,V,42.289900,-88.407120
63511,63968,IPP Non-CHP,1.5,1.5,1.5,Solar Photovoltaic,1,2021,V,39.513030,-89.037340
63644,63990,IPP Non-CHP,2.0,2.0,2.0,Solar Photovoltaic,1,2021,TS,42.215163,-88.920640
63667,64028,IPP Non-CHP,2.9,2.9,2.9,Solar Photovoltaic,1,2021,U,32.590258,-116.919500
63667,64049,IPP Non-CHP,1.8,1.8,1.8,Solar Photovoltaic,1,2021,U,33.190283,-117.255600
63694,64061,IPP Non-CHP,3.3,3.5,3.5,Solar Photovoltaic,1,2021,U,34.249814,-81.648950
61372,64074,IPP Non-CHP,198.8,198.8,198.8,Onshore Wind Turbine,1,2021,V,37.414000,-99.997000
61298,64144,IPP Non-CHP,80.0,80.0,80.0,Solar Photovoltaic,1,2021,T,35.900000,-77.640000
62856,64180,IPP Non-CHP,2.0,2.0,2.0,Solar Photovoltaic,1,2021,U,39.595350,-79.387900
62856,64181,IPP Non-CHP,1.3,1.3,1.3,Solar Photovoltaic,1,2021,U,41.692700,-87.833300
61012,64185,IPP Non-CHP,1.8,1.8,1.8,Batteries,1,2021,U,42.070000,-72.010000
61012,64185,IPP Non-CHP,2.8,2.8,2.8,Solar Photovoltaic,1,2021,U,42.070000,-72.010000
61012,64187,IPP Non-CHP,0.7,0.7,0.7,Batteries,1,2021,U,42.100000,-72.470000
61012,64187,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,U,42.100000,-72.470000
63689,64220,Industrial Non-CHP,5.0,5.0,4.2,Solar Photovoltaic,1,2021,V,35.732770,-119.745200
63859,64251,IPP Non-CHP,6.9,6.9,6.9,Solar Photovoltaic,1,2021,V,46.189254,-84.345450
60025,64261,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,V,34.979530,-90.806020
60025,64262,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,V,35.037890,-90.807070
60025,64263,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,1,2021,V,34.421000,-93.194850
60025,64266,IPP Non-CHP,1.6,1.6,1.6,Solar Photovoltaic,1,2021,V,37.451200,-105.859200
61944,64327,IPP Non-CHP,21.3,21.3,21.3,Solar Photovoltaic,1,2021,U,39.984000,-74.238000
1515,1126,Electric Utility,1.8,1.7,1.8,Petroleum Liquids,2,2021,V,42.250000,-90.416700
3258,1206,Electric Utility,18.8,18.4,18.4,Natural Gas Internal Combustion Engine,2,2021,V,41.113600,-94.347200
3258,1206,Electric Utility,18.8,18.4,18.4,Natural Gas Internal Combustion Engine,2,2021,V,41.113600,-94.347200
3258,1206,Electric Utility,18.8,18.4,18.4,Natural Gas Internal Combustion Engine,2,2021,V,41.113600,-94.347200
12119,6555,Electric Utility,0.4,0.4,0.4,Petroleum Liquids,2,2021,V,62.956990,-155.595000
12119,6555,Electric Utility,0.4,0.4,0.4,Petroleum Liquids,2,2021,V,62.956990,-155.595000
12119,6555,Electric Utility,0.4,0.4,0.4,Petroleum Liquids,2,2021,V,62.956990,-155.595000
12119,6555,Electric Utility,0.4,0.4,0.4,Petroleum Liquids,2,2021,V,62.956990,-155.595000
63880,50533,IPP Non-CHP,46.8,46.8,46.8,Onshore Wind Turbine,2,2021,L, , 
11820,54907,Commercial CHP,21.7,17.7,20.7,Natural Gas Fired Combustion Turbine,2,2021,TS,42.360986,-71.093880
11820,54907,Commercial CHP,21.7,17.7,20.7,Natural Gas Fired Combustion Turbine,2,2021,TS,42.360986,-71.093880
56215,58780,IPP Non-CHP,249.8,249.8,249.8,Onshore Wind Turbine,2,2021,V,40.561389,-83.736390
59550,59783,Industrial CHP,2.0,2.0,2.0,Landfill Gas,2,2021,V,39.693333,-75.543060
59843,60092,IPP Non-CHP,115.0,115.0,115.0,Batteries,2,2021,V,33.680000,-114.730000
60192,60393,IPP Non-CHP,4.0,4.0,4.0,Solar Photovoltaic,2,2021,V,35.318824,-81.623930
15399,61044,IPP Non-CHP,141.2,141.2,141.2,Onshore Wind Turbine,2,2021,V,34.810000,-105.740000
13781,61650,Electric Utility,200.0,200.0,200.0,Onshore Wind Turbine,2,2021,V,44.445293,-96.352760
61727,62207,IPP Non-CHP,209.4,209.4,209.4,Onshore Wind Turbine,2,2021,V,27.030280,-99.388390
56215,62416,IPP Non-CHP,220.0,220.0,220.0,Onshore Wind Turbine,2,2021,V,28.197778,-97.444950
62006,62483,IPP Non-CHP,255.0,255.0,255.0,Solar Photovoltaic,2,2021,V,31.165245,-103.125900
62113,62620,IPP Non-CHP,338.4,338.4,338.4,Onshore Wind Turbine,2,2021,TS,33.303497,-101.657200
62134,62656,IPP Non-CHP,100.0,100.0,100.0,Solar Photovoltaic,2,2021,TS,39.142217,-111.051100
62635,62715,IPP Non-CHP,180.1,180.1,180.1,Onshore Wind Turbine,2,2021,V,33.549150,-97.329580
62661,62747,IPP Non-CHP,0.5,0.5,0.5,Conventional Hydroelectric,2,2021,V,37.677484,-83.948550
62661,62747,IPP Non-CHP,0.5,0.5,0.5,Conventional Hydroelectric,2,2021,V,37.677484,-83.948550
62661,62747,IPP Non-CHP,0.5,0.5,0.5,Conventional Hydroelectric,2,2021,V,37.677484,-83.948550
62661,62747,IPP Non-CHP,0.5,0.5,0.5,Conventional Hydroelectric,2,2021,V,37.677484,-83.948550
62661,62747,IPP Non-CHP,0.5,0.5,0.5,Conventional Hydroelectric,2,2021,V,37.677484,-83.948550
62685,62781,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,2,2021,U,41.632690,-71.496250
59050,62853,IPP Non-CHP,524.4,524.4,524.4,Onshore Wind Turbine,2,2021,U,31.262546,-99.843960
56215,62909,IPP Non-CHP,200.2,200.2,200.2,Onshore Wind Turbine,2,2021,V,26.364153,-97.780440
49893,62943,IPP Non-CHP,300.0,300.0,300.0,Onshore Wind Turbine,2,2021,U,44.863583,-96.534630
62825,62978,IPP Non-CHP,3.0,3.0,3.0,Batteries,2,2021,U,42.115652,-71.644050
62825,62978,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,2,2021,V,42.115652,-71.644050
62868,63009,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,2,2021,V,44.196124,-93.608720
63631,63024,IPP Non-CHP,10.0,10.0,10.0,Solar Photovoltaic,2,2021,U,36.268007,-77.028210
61012,63041,IPP Non-CHP,1.5,1.5,1.5,Solar Photovoltaic,2,2021,TS,42.264800,-72.072700
61012,63044,IPP Non-CHP,4.3,4.3,4.3,Batteries,2,2021,TS,42.263700,-72.063900
61012,63044,IPP Non-CHP,4.3,4.3,4.3,Solar Photovoltaic,2,2021,TS,42.263700,-72.063900
62897,63094,IPP CHP,1.1,1.1,1.1,Other Waste Biomass,2,2021,V,34.482175,-120.123500
62897,63094,IPP CHP,1.1,1.1,1.1,Other Waste Biomass,2,2021,V,34.482175,-120.123500
56201,63102,IPP Non-CHP,153.6,153.6,153.6,Onshore Wind Turbine,2,2021,V,45.267621,-97.103980
60531,63171,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,2,2021,V,44.788830,-95.095620
62973,63215,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,2,2021,V,44.422314,-94.926640
61012,63475,IPP Non-CHP,3.3,3.3,3.3,Batteries,2,2021,TS,42.392100,-71.661100
61012,63475,IPP Non-CHP,5.0,5.0,5.0,Solar Photovoltaic,2,2021,TS,42.392100,-71.661100
63224,63482,IPP Non-CHP,64.5,64.5,64.5,Onshore Wind Turbine,2,2021,V,35.080833,-118.361400
24211,63502,Electric Utility,33.8,33.8,33.8,Onshore Wind Turbine,2,2021,U,32.932300,-103.666400
24211,63502,Electric Utility,216.0,216.0,216.0,Onshore Wind Turbine,2,2021,U,32.932300,-103.666400
6455,63518,Electric Utility,74.9,74.9,74.9,Solar Photovoltaic,2,2021,V,30.466428,-82.968720
56769,63549,IPP Non-CHP,80.0,80.0,80.0,Solar Photovoltaic,2,2021,U,37.016375,-79.027060
60281,63576,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,2,2021,V,45.190434,-92.959020
60281,63577,IPP Non-CHP,1.0,1.0,1.0,Solar Photovoltaic,2,2021,V,45.498092,-94.114720
4254,63686,Electric Utility,150.0,150.0,150.0,Onshore Wind Turbine,2,2021,U,41.935000,-84.477000
63082,63688,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,2,2021,U,29.426389,-94.976670
63082,63688,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,2,2021,U,29.426389,-94.976670
63082,63688,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,2,2021,U,29.426389,-94.976670
63082,63688,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,2,2021,U,29.426389,-94.976670
63082,63688,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,2,2021,U,29.426389,-94.976670
63082,63688,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,2,2021,U,29.426389,-94.976670
63082,63688,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,2,2021,U,29.426389,-94.976670
63082,63688,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,2,2021,U,29.426389,-94.976670
63082,63688,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,2,2021,U,29.426389,-94.976670
63082,63688,IPP Non-CHP,60.5,44.5,49.8,Natural Gas Fired Combustion Turbine,2,2021,U,29.426389,-94.976670
